Codigo,Nombre,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
9239,Jorge Eduardo Ulloa,1,2,1,1,9,4,2,4,2,1,0,0,6,3,0
9243,Alberto Varon,1,2,2,2,0,1,0,2,3,0,0,3,3,2,2
9247,Hernan Vergara,1,11,7,1,2,0,1,3,1,2,2,6,1,1,0
9251,Miguel Villazon,1,2,3,1,1,0,0,1,0,0,0,0,0,0,0
9255,Jesusita Zabala,2,4,0,1,0,0,0,4,0,0,2,0,0,3,0
9259,Jose Francisco Zuniga,8,5,8,0,0,0,0,2,1,3,3,0,1,2,1
9263,Gustavo Adolfo Cabrera,10,11,5,5,3,7,1,2,1,2,12,1,0,3,8
9267,Felipe Rafael Posado,1,2,2,2,0,0,6,9,4,1,0,2,0,1,3
9271,Antonio Jose Caicedo,4,0,1,0,1,1,1,1,1,1,0,9,2,0,0
9276,Ricardo Varela,18,8,1,2,5,0,0,0,3,3,2,0,0,0,3
9280,Jose Francisco Armenta,3,4,2,0,2,1,0,1,3,0,0,0,0,0,0
9284,Gustavo Vives,4,0,0,1,2,2,0,2,0,3,3,12,6,2,0
9288,Antonio Claret Mendoza,10,10,1,12,3,4,4,2,3,0,6,1,2,4,8
9292,Beznaida Cordoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9296,Leon Dario Trujillo,5,6,7,22,7,7,8,8,5,3,31,13,18,8,5
9300,Carlos Julio Socha,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0
9304,Jaime Martinez,12,6,10,7,6,4,3,2,3,3,15,11,3,16,3
9308,Luis Mariano Moreno,45,36,48,42,42,26,21,15,32,29,87,149,116,104,103
9312,Gustavo Adolfo Aristizabal,8,12,10,5,1,5,1,1,0,10,10,8,25,7,2
9316,Maria Helena Molina,3,10,1,2,0,6,0,1,0,2,0,3,7,6,0
9320,Hector Alfonso Rodriguez,18,10,11,11,18,6,2,6,11,11,27,8,11,15,5
9324,Luis Ciro Escarria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9328,Jose Antonio Sanchez,10,26,18,6,3,14,11,7,6,6,22,16,15,14,4
9332,Fabian Ovidio Legarda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9336,Cesar Julio Uparela,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
9340,Pedro Alberto Mora,28,33,34,23,12,14,32,23,17,34,25,35,31,44,14
9344,Hugo Janio Lopez,8,17,12,9,8,4,2,18,19,12,11,13,31,11,12
9348,Hector Fernando Ramirez,8,1,5,6,7,18,10,12,2,0,8,12,10,10,6
9352,Sergio Lopez,8,2,0,3,7,3,4,0,0,7,17,18,57,10,4
9356,Ernesto Chaparro,14,26,10,20,18,6,2,2,1,2,6,35,16,6,5
9361,Orlando Manuel Dangond,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0
68,Alba Luz Pinilla,0,0,1,2,1,0,0,0,1,0,0,2,0,1,2
157,Alexander Lopez,2,38,6,4,2,15,39,31,15,31,57,94,104,69,56
199,Alfonso Antonio Campo,16,31,22,17,7,9,5,7,3,26,149,40,20,18,2
239,Alirio Villamizar,0,0,0,0,1,8,15,17,10,15,16,36,134,26,7
255,Alvaro Ayala,5,21,4,8,2,0,5,3,0,0,0,0,2,0,5
348,Amparo Lucia Vega,1708,1928,1474,1230,1122,1025,1179,1348,955,1215,2105,3282,3330,2856,1391
442,Antonio Valencia,20,19,8,16,11,7,11,12,15,8,33,75,139,80,55
460,Antonio Jose Pinillos,0,4,10,9,8,5,7,0,1,1,4,3,12,3,2
549,Augusto Posada,1057,1038,993,943,788,590,712,834,584,836,1195,1737,1848,1607,837
600,Bernardo Alejandro Guerra,36,32,5,4,4,22,12,23,19,6,17,39,17,11,8
645,Camilo Armando Sanchez,89,93,55,66,57,77,149,169,33,58,95,82,113,104,38
678,Carlos Holguin,232,127,86,62,175,176,214,203,163,407,672,519,176,30,11
734,Carlos Alberto Zuluaga,4,7,2,3,1,7,1,5,11,6,25,27,6,24,10
765,Carlos Arturo Piedrahita,4,2,0,1,0,1,3,15,9,6,11,13,35,4,1
786,Carlos Eduardo Corssi,2,10,2,1,17,1,1,0,1,0,1,0,0,0,0
800,Carlos Enrique Avila,8,0,3,1,0,5,5,11,0,2,11,24,31,18,2
828,Carlos Hernan Barragan,0,1,0,0,0,2,0,0,1,4,1,0,0,2,0
879,Carlos Roberto Ferro,32,4,3,9,16,2,2,0,5,31,27,48,51,23,2
963,Cesar Augusto Mejia,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
994,Ciro Ramirez,29,87,103,154,117,72,85,48,28,55,67,72,24,16,54
1035,Constantino Rodriguez,0,0,0,0,0,0,0,0,0,3,4,3,16,4,3
1054,Cristobal Rufino Cordoba,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1087,Dario Ariza,9,2,2,1,1,1,0,1,0,0,3,0,11,0,0
1143,Dieb Nicolas Maloof,0,6,0,1,9,15,18,21,9,133,151,81,16,20,3
1182,Dilian Francisca Toro,0,0,1,0,0,1,1,1,0,3,4,3,5,3,0
1215,Edgar Espindola,11,9,4,17,33,51,43,25,0,2,33,12,22,28,3
1326,Eduardo Alfonso Crissien,2,4,4,1,0,5,2,7,0,2,6,4,7,3,0
1359,Efrain Torrado,10,3,2,10,4,5,4,3,0,3,8,15,23,49,3
1371,Eiber Gustavo Navarro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Elsa Gladys Cifuentes,0,1,0,1,0,2,3,0,0,0,3,0,4,0,0
1442,Enrique Gomez,85,86,85,96,70,63,78,58,45,42,31,33,41,45,22
1515,Fabio Arango,3,1,3,3,1,8,5,7,4,4,0,1,6,6,8
1637,Fernando Eustacio Tamayo,10,23,16,14,16,14,15,8,4,18,14,19,25,30,3
1701,Francisco Javier Murgueitio,25,23,8,6,3,5,2,1,0,4,29,0,0,1,0
1737,Gabriel Acosta,14,36,8,18,4,4,6,1,7,7,7,1,7,3,2
1784,Gerardo Tamayo,0,32,3,6,4,2,1,1,0,0,0,0,0,2,0
1821,German Vargas,6,21,17,25,32,50,50,36,12,38,39,15,33,117,148
1831,German Alonso Olano,0,0,11,2,0,0,0,0,0,0,0,0,0,8,27
1848,German Nestor Viana,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1914,Gloria Isabel Cuartas,1477,1774,1520,1317,1202,1151,1076,1248,915,1195,1640,2546,2553,2314,1060
1961,Guillermo Garcia,2,1,0,0,0,0,2,0,0,0,1,1,3,1,0
1991,Guillermo Antonio Santos,75,64,58,59,56,69,64,83,42,58,99,200,185,163,73
2022,Gustavo Montealegre,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2076,Hector Arango,5,9,5,7,4,6,8,17,7,2,3,0,0,2,0
2122,Hector Jose Ospina,0,1,0,1,0,1,1,1,1,4,1,0,5,2,8
2168,Heriberto Sanabria,34,10,1,0,1,0,0,0,0,6,8,29,39,54,8
2211,Hernando Carvalho,0,18,14,27,22,12,9,21,26,33,42,43,34,30,5
